"job_location","average_salary","min_salary","median_salary","max_salary","number_of_job_postings","number_of_senior_positions"
"White Plains, NY","125000.0","125000.0",125000,"125000.0","2","0"
"Wichita, KS","121610.5","113221.0",121610.5,"130000.0","2","0"
"Willingboro, NJ","125000.0","125000.0",125000,"125000.0","1","0"
"Wilmington, DE","132075.0","75000.0",120800,"225000.0","8","1"
"Wilmington, MA","266250.0","157500.0",266250,"375000.0","2","1"
"Wilmington, NC","105048.2","80000.0",100000,"135144.5","3","1"
"Wilsonville, OR","90000.0","90000.0",90000,"90000.0","1","0"
"Winchester, VA","135331.3","124400.0",136400,"143000.0","8","0"
"Winona, MN","90000.0","90000.0",90000,"90000.0","1","1"
"Winston-Salem, NC","83383.3","83200.0",83200,"83750.0","3","0"
"Woodbridge Township, NJ","90000.0","90000.0",90000,"90000.0","1","1"
"Woodbridge, VA","84800.0","84800.0",84800,"84800.0","1","0"
"Woodland Hills, CA","125000.0","125000.0",125000,"125000.0","1","0"
"Woodlawn, MD","104064.0","88128.0",104064,"120000.0","2","0"
"Woonsocket, RI","154583.3","115000.0",120000,"247500.0","6","3"
"Worcester, MA","125000.0","125000.0",125000,"125000.0","1","0"
"Wright-Patterson AFB, OH","106742.3","71533.0",106742.25,"141951.5","2","0"
"Wylie, TX","108389.5","88365.03125",108389.53125,"128414.03125","2","0"
"Xinyi District, Taipei City, Taiwan","31274.0","31274.0",31274,"31274.0","1","0"
"Zagreb, Croatia","88128.0","88128.0",88128,"88128.0","1","0"
"Zaventem, Belgium","157500.0","157500.0",157500,"157500.0","1","0"
"Zürich, Switzerland","121115.3","72000.0",118758.5,"170575.0","6","1"
